Minister,Party,Portfolio
Vijay Goel,Bharatiya Janata Party,Minister of State in the Ministry of Parliamentary Affairs; and Minister of State in the Ministry of Statistics and Programme Implementation.
Pon Radhakrishnan,Bharatiya Janata Party,Minister of State in the Ministry of Finance; and Minister of State in the Ministry of Shipping.
S.S. Ahluwalia,Bharatiya Janata Party,Minister of State in the Ministry of Drinking Water and Sanitation and Minister of State in the Ministry of Electronics and Information Technology.[27]
Ramesh Jigajinagi,Bharatiya Janata Party,Minister of State in the Ministry of Drinking Water and Sanitation.
Ramdas Athawale,Republican Party of India (A),Minister of State in the Ministry of Social Justice and Empowerment.
Vishnu Deo Sai,Bharatiya Janata Party,Minister of State in the Ministry of Steel.
Ram Kripal Yadav,Bharatiya Janata Party,Minister of State in the Ministry of Rural Development.
Hansraj Ahir,Bharatiya Janata Party,Minister of State in the Ministry of Home Affairs.
Haribhai Parthibhai Chaudhary,Bharatiya Janata Party,Minister of State in the Ministry of Mines; and Minister of State in the Ministry of Coal.
Rajen Gohain,Bharatiya Janata Party,Minister of State in the Ministry of Railways.
General (Retd.) V. K. Singh,Bharatiya Janata Party,Minister of State in the Ministry of External Affairs.
Parshottam Rupala,Bharatiya Janata Party,Minister of State in the Ministry of Agriculture and Farmers Welfare; and Minister of State in the Ministry of Panchayati Raj.
Jayant Sinha,Bharatiya Janata Party,Civil Aviation
Krishan Pal Gurjar,Bharatiya Janata Party,Minister of State in the Ministry of Social Justice and Empowerment.
Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janata Party,Minister of State in the Ministry of Tribal Affairs.
Shiv Pratap Shukla,Bharatiya Janata Party,Minister of State in the Ministry of Finance.
Ashwini Kumar Choubey,Bharatiya Janata Party,Minister of State in the Ministry of Health and Family Welfare.
Sudarshan Bhagat,Bharatiya Janata Party,Minister of State in the Ministry of Tribal Affairs.
Kiren Rijiju,Bharatiya Janata Party,Minister of State in the Ministry of Home Affairs.
Upendra Kushwaha,Rashtriya Lok Samta Party,Minister of State in the Ministry of Human Resource Development.
Virendra Kumar,Bharatiya Janata Party,Minister of State in the Ministry of Women and Child Development; and Minister of State in the Ministry of Minority Affairs.
Anupriya Patel,Apna Dal (Sonelal),Minister of State in the Ministry of Health & Family Welfare
M. J. Akbar,Bharatiya Janata Party,Minister of State in the Ministry of External Affairs.
Anant Kumar Hegde,Bharatiya Janata Party,Minister of State in the Ministry of Skill Development and Entrepreneurship.
Niranjan Jyoti,Bharatiya Janata Party,Minister of State in the Ministry of Food Processing Industries.
Jayant Sinha,Bharatiya Janata Party,Minister of State in the Ministry of Civil Aviation.
Babul Supriyo,Bharatiya Janata Party,Minister of State in the Ministry of Heavy Industries and Public Enterprises.
Arjun Ram Meghwal,Bharatiya Janata Party,"Minister of State in the Ministry of Parliamentary Affairs; and Minister of State in the Ministry of Water Resources, River Development and Ganga Rejuvenation."
Vijay Sampla,Bharatiya Janata Party,Minister of State in the Ministry of Social Justice and Empowerment.
Ajay Tamta,Bharatiya Janata Party,Minister of State in the Ministry of Textiles.
Krishna Raj,Bharatiya Janata Party,Minister of State in the Ministry of Agriculture and Farmers Welfare.
Chhotu Ram Chaudhary,Bharatiya Janata Party,"Minister of State in the Ministry of Consumer Affairs, Food and Public Distribution; and Minister of State in the Ministry of Commerce and Industry."
P. P. Chaudhary,Bharatiya Janata Party,Minister of State in the Ministry of Law and Justice; and Minister of State in the Ministry of Corporate Affairs.
Subhash Ramrao Bhamre,Bharatiya Janata Party,Minister of State in the Ministry of Defence.
Gajendra Singh Shekhawat,Bharatiya Janata Party,Minister of State in the Ministry of Agriculture and Farmers Welfare.
Satya Pal Singh,Bharatiya Janata Party,"Minister of State in the Ministry of Human Resource Development; and Minister of State in the Ministry of Water Resources, River Development and Ganga Rejuvenation."
